,County,No_(PWA)_2018,Sunsreen_Lotions,Lip_Care,AfterSun_Lotions,Caps,Long_Sleeved_Tshirts,Total_No_Products
0,BARINGO,3.0,108.0,108.0,108.0,27.0,27.0,378.0
1,BOMET,49.0,1764.0,1764.0,1764.0,441.0,441.0,6174.0
2,BUNGOMA,229.0,8244.0,8244.0,8244.0,2061.0,2061.0,28854.0
3,BUSIA,34.0,1224.0,1224.0,1224.0,306.0,306.0,4284.0
4,ELGEY/MARAKWET,1.0,36.0,36.0,36.0,9.0,9.0,126.0
5,EMBU,39.0,1404.0,1404.0,1404.0,351.0,351.0,4914.0
6,GARISSA,16.0,576.0,576.0,576.0,144.0,144.0,2016.0
7,HOMA BAY,46.0,1656.0,1656.0,1656.0,414.0,414.0,5796.0
8,ISIOLO,4.0,144.0,144.0,144.0,36.0,36.0,504.0
9,KAJIADO,42.0,1512.0,1512.0,1512.0,378.0,378.0,5292.0
10,KAKAMEGA,210.0,7560.0,7560.0,7560.0,1890.0,1890.0,26460.0
11,KERICHO,43.0,1548.0,1548.0,1548.0,387.0,387.0,5418.0
12,KIAMBU,153.0,5508.0,5508.0,5508.0,1377.0,1377.0,19278.0
13,KILIFI,109.0,3924.0,3924.0,3924.0,981.0,981.0,13734.0
14,KIRINYAGA,36.0,1296.0,1296.0,1296.0,324.0,324.0,4536.0
15,KISII,320.0,11520.0,11520.0,11520.0,2880.0,2880.0,40320.0
16,KISUMU,60.0,2160.0,2160.0,2160.0,540.0,540.0,7560.0
17,KITUI,135.0,4860.0,4860.0,4860.0,1215.0,1215.0,17010.0
18,KWALE,112.0,4032.0,4032.0,4032.0,1008.0,1008.0,14112.0
19,LAIKIPIA,22.0,792.0,792.0,792.0,198.0,198.0,2772.0
20,LAMU,15.0,540.0,540.0,540.0,135.0,135.0,1890.0
21,MACHAKOS,61.0,2196.0,2196.0,2196.0,549.0,549.0,7686.0
22,MAKUENI,83.0,2988.0,2988.0,2988.0,747.0,747.0,10458.0
23,MANDERA,15.0,540.0,540.0,540.0,135.0,135.0,1890.0
24,MARSABIT,6.0,216.0,216.0,216.0,54.0,54.0,756.0
25,MERU,115.0,4140.0,4140.0,4140.0,1035.0,1035.0,14490.0
26,MIGORI,47.0,1692.0,1692.0,1692.0,423.0,423.0,5922.0
27,MOMBASA,123.0,4428.0,4428.0,4428.0,1107.0,1107.0,15498.0
28,MURANG'A,73.0,2628.0,2628.0,2628.0,657.0,657.0,9198.0
29,NAIROBI,86.0,3096.0,3096.0,3096.0,774.0,774.0,10836.0
30,NAKURU,65.0,2340.0,2340.0,2340.0,585.0,585.0,8190.0
31,NANDI,64.0,2304.0,2304.0,2304.0,576.0,576.0,8064.0
32,NAROK,48.0,1728.0,1728.0,1728.0,432.0,432.0,6048.0
33,NYAMIRA,35.0,1260.0,1260.0,1260.0,315.0,315.0,4410.0
34,NYANDARUA,29.0,1044.0,1044.0,1044.0,261.0,261.0,3654.0
35,NYERI,45.0,1620.0,1620.0,1620.0,405.0,405.0,5670.0
36,SAMBURU,3.0,108.0,108.0,108.0,27.0,27.0,378.0
37,SIAYA,131.0,4716.0,4716.0,4716.0,1179.0,1179.0,16506.0
38,TAITA/TAVETA,65.0,2340.0,2340.0,2340.0,585.0,585.0,8190.0
39,TANA RIVER,40.0,1440.0,1440.0,1440.0,360.0,360.0,5040.0
40,THARAKA-NITHI,29.0,1044.0,1044.0,1044.0,261.0,261.0,3654.0
41,TRANS NZOIA,91.0,3276.0,3276.0,3276.0,819.0,819.0,11466.0
42,TURKANA,11.0,396.0,396.0,396.0,99.0,99.0,1386.0
43,UASIN GISHU,80.0,2880.0,2880.0,2880.0,720.0,720.0,10080.0
44,VIHIGA,46.0,1656.0,1656.0,1656.0,414.0,414.0,5796.0
45,WAJIR,68.0,2448.0,2448.0,2448.0,612.0,612.0,8568.0
46,WEST POKOT,16.0,576.0,576.0,576.0,144.0,144.0,2016.0
